Nom Dalle,Pixels Blancs (Arbres),Pourcentage Verdure (%),Surface Arborée (m2)
18475_51860_5cm_CC46,17998376,17.9984,44995.94
18345_51855_5cm_CC46,29503776,29.5038,73759.44
18340_51855_5cm_CC46,11350097,11.3501,28375.24
18350_51855_5cm_CC46,24292082,24.2921,60730.21
18355_51855_5cm_CC46,18948390,18.9484,47370.97
18360_51855_5cm_CC46,27149439,27.1494,67873.60
18375_51855_5cm_CC46,39407517,39.4075,98518.79
18365_51855_5cm_CC46,31786095,31.7861,79465.24
18370_51855_5cm_CC46,36328633,36.3286,90821.58
18395_51855_5cm_CC46,34479343,34.4793,86198.36
18410_51855_5cm_CC46,33322201,33.3222,83305.50
18405_51855_5cm_CC46,50887366,50.8874,127218.42
18425_51855_5cm_CC46,16701343,16.7013,41753.36
18400_51855_5cm_CC46,34822452,34.8225,87056.13
18415_51855_5cm_CC46,36580353,36.5804,91450.88
18420_51855_5cm_CC46,26395101,26.3951,65987.75
18445_51855_5cm_CC46,10549693,10.5497,26374.23
18435_51855_5cm_CC46,18145718,18.1457,45364.29
18440_51855_5cm_CC46,12550823,12.5508,31377.06
18430_51855_5cm_CC46,20754460,20.7545,51886.15
18375_51850_5cm_CC46,3072979,3.0730,7682.45
18450_51855_5cm_CC46,14712963,14.7130,36782.41
18465_51855_5cm_CC46,6151112,6.1511,15377.78
18455_51855_5cm_CC46,11912503,11.9125,29781.26
18460_51855_5cm_CC46,13084562,13.0846,32711.41
18470_51855_5cm_CC46,18254700,18.2547,45636.75
18340_51850_5cm_CC46,15448653,15.4487,38621.63
18485_51855_5cm_CC46,39411757,39.4118,98529.39
18345_51850_5cm_CC46,18157795,18.1578,45394.49
18370_51850_5cm_CC46,36645035,36.6450,91612.59
18475_51855_5cm_CC46,15815083,15.8151,39537.71
18395_51850_5cm_CC46,34142103,34.1421,85355.26
18480_51855_5cm_CC46,34218300,34.2183,85545.75
18365_51850_5cm_CC46,37639835,37.6398,94099.59
18350_51850_5cm_CC46,18039660,18.0397,45099.15
18360_51850_5cm_CC46,35367178,35.3672,88417.95
18355_51850_5cm_CC46,18075906,18.0759,45189.76
18400_51850_5cm_CC46,44651710,44.6517,111629.28
18405_51850_5cm_CC46,43633886,43.6339,109084.71
18410_51850_5cm_CC46,34458335,34.4583,86145.84
18415_51850_5cm_CC46,33875044,33.8750,84687.61
18425_51850_5cm_CC46,19398948,19.3989,48497.37
18420_51850_5cm_CC46,14597177,14.5972,36492.94
18455_51850_5cm_CC46,15339323,15.3393,38348.31
